,Group,C,phi,K,n,C_lp,phi_lp,K_lp,n_lp
0,GC Unlinked,194.56783420550798,0.08381207287364087,4.875875776987678e-34,11.931454718839131,182.93198736989694,0.13874009679367738,4.94363839834955e-23,7.20772135235343
1,GC Linked,57.53885354933142,0.19236448365319658,7.094202279978609e-16,5.198464828832691,31.193860199769844,0.2939717772172894,8.272649050743661e-12,3.4016869900757563
2,GC Unlinked 10 km,87.60909242128778,0.16295237067381446,1.1995979501965584e-18,6.136763038659215,50.87053679826838,0.2658144737265265,3.803987650067884e-13,3.7620209719826727
3,GC Linked 10 km,55.42737968601491,0.19745914780268464,1.476345514546661e-15,5.064339242929712,28.44992209246728,0.306543362709212,1.805193949955969e-11,3.26218127382438
4,Alps Unlinked,198.50375344084074,0.09145625166099546,7.512129863341212e-32,10.934188846002968,202.39029628320338,0.11757842690466204,2.4319009962045882e-26,8.50496136398223
5,Alps Linked,46.683218797480386,0.22262132039672503,3.178645499123603e-14,4.491932696653034,35.20296741748377,0.2751722332036838,2.396596721293889e-12,3.6340877972340047
6,BC Unlinked,198.42459190709874,0.06041109564766427,9.275188637200447e-45,16.553251890116083,226.2737476242589,0.09712459228173421,5.709050232939137e-31,10.296052281345549
7,BC Linked,54.83357359251982,0.18346405809052588,3.319332006566456e-16,5.450658789603568,32.1800638476873,0.2844943150271829,5.021331427236971e-12,3.515008725634525
8,BC Unlinked RainOnly,167.82350808809727,0.0834714579122411,2.217913768984658e-33,11.98014328018747,159.81147638870937,0.14677344740847023,9.690103999912138e-22,6.813222393894768
9,BC Linked RainOnly,58.61927419937865,0.17360282090813234,6.540347987114938e-17,5.760275021785959,34.52220601893598,0.27370795686619387,2.4016663243991705e-12,3.6535289348010704
10,GC Unlinked Area,160.66049319936195,0.1066599651027306,2.08116262042563e-27,9.37558779780188,128.0388829653377,0.18027000359307654,2.0421168425120626e-18,5.547234464207629
11,GC Linked Area,54.43454965174088,0.19992323408899262,2.0763188788151838e-15,5.001919924711155,27.714001829110767,0.31029575782374635,2.241647137806987e-11,3.22273180250458
12,GC Unlinked RainOnly,182.59961573994738,0.0872022668629135,1.1642416653261574e-32,11.467591649788922,159.18148016623195,0.14928523834666546,1.780055588138582e-21,6.698585953730194
13,GC Linked RainOnly,66.01007105224535,0.172549819792067,2.8482681988364015e-17,5.79542759207257,38.19281137249304,0.26390831090425526,1.0128935811766204e-12,3.789194644687531
