Model,Group,mean_snow_fraction,std_snow_fraction,min_snow_fraction,max_snow_fraction
gc025u,gcu,0.05702806234669956,0.042509632018351624,0.05702806234669956,0.1750103355772763
gc05u,gcu,0.07087006213611541,0.055599559349485274,0.07087006213611541,0.233014466366196
gc1u,gcu,0.08636804802441903,0.06824675871182262,0.08636804802441903,0.27220055035629936
gc2u,gcu,0.10096024497015865,0.07542468436081329,0.10096024497015865,0.29263833011261464
gc4u,gcu,0.11784412446134701,0.08727797603848383,0.11784412446134701,0.3659549730770961
gc8u,gcu,0.14519449498778658,0.1182195718610492,0.14519449498778658,0.495537927243301
gc025l,gcl,0.010519560012960056,0.012042106223349568,0.010519560012960056,0.05426658663510862
gc05l,gcl,0.014878448858585074,0.01733034730209325,0.014878448858585074,0.07673410021517832
gc1l,gcl,0.021847203016409064,0.026041480258044855,0.021847203016409064,0.11533628961271465
gc2l,gcl,0.03355392976845552,0.04078890294516035,0.03355392976845552,0.17955964472584643
gc4l,gcl,0.05170107703773877,0.05928600678320507,0.05170107703773877,0.2500122928156363
gc8l,gcl,0.07882577057904504,0.0807033737113478,0.07882577057904504,0.3233598548681761
gc025u_10l,gcu_10l,0.011544487211803659,0.0046248881305478995,0.011544487211803659,0.01891561216590504
gc05u_10l,gcu_10l,0.015284785512308541,0.006437271259080428,0.015284785512308541,0.02561815180902994
gc1u_10l,gcu_10l,0.020582918887665603,0.00920672649867103,0.020582918887665603,0.03557379409727698
gc2u_10l,gcu_10l,0.029656883263347728,0.015354644327164385,0.029656883263347728,0.05553920378745389
gc4u_10l,gcu_10l,0.042997813178288415,0.02374159928796392,0.042997813178288415,0.08277729434609431
gc8u_10l,gcu_10l,0.06655023346636293,0.0405756094604712,0.06655023346636293,0.13654266578933055
gc025l_10l,gcl_10l,0.005529865977256711,0.0037077650341131485,0.005529865977256711,0.012200512846884882
gc05l_10l,gcl_10l,0.007668748697422884,0.0051974491797950675,0.007668748697422884,0.017003809873353575
gc1l_10l,gcl_10l,0.010922093358009696,0.007469969281229192,0.010922093358009696,0.02435107094870804
gc2l_10l,gcl_10l,0.016128038474714283,0.011148556102384176,0.016128038474714283,0.03616095145221776
gc4l_10l,gcl_10l,0.026071078294829735,0.0192461922319051,0.026071078294829735,0.06106731186692051
gc8l_10l,gcl_10l,0.04509684351276584,0.034759738743417395,0.04509684351276584,0.10825253073778963
a025u,au,0.07533291639996992,0.05074906548904659,0.07533291639996992,0.20958117205066662
a05u,au,0.09430466624741016,0.0640131441172716,0.09430466624741016,0.25435786094780494
a1u,au,0.11598466588300832,0.07556772409121461,0.11598466588300832,0.30036617994884235
a2u,au,0.1364853114482995,0.08588265737402208,0.1364853114482995,0.3564507406746065
a4u,au,0.1635357852726983,0.10364351305836038,0.1635357852726983,0.44133366627814585
a8u,au,0.18776460384814012,0.11220524021314786,0.18776460384814012,0.5084997111126742
a025l,al,0.010886854984310367,0.011913502228172454,0.010886854984310367,0.05364247714199971
a05l,al,0.01604265011302107,0.017987930176406743,0.01604265011302107,0.07981780371890503
a1l,al,0.02499677277287791,0.028843372258132566,0.02499677277287791,0.12716646054865288
a2l,al,0.039942960297281366,0.046145034038519044,0.039942960297281366,0.20000324093119648
a4l,al,0.06399894855648741,0.06782532327061384,0.06399894855648741,0.28379333335769896
a8l,al,0.10286718416289481,0.09747407289229959,0.10286718416289481,0.4090895505363774
bc025u,bcu,0.09540482479726854,0.0906890431935043,0.09540482479726854,0.3500026013956035
bc05u,bcu,0.11698353145376326,0.10832314093732577,0.11698353145376326,0.41990671445811956
bc1u,bcu,0.14834510940617537,0.14075426829466448,0.14834510940617537,0.5685792528987659
bc2u,bcu,0.1917015368246645,0.1971199471839945,0.1917015368246645,0.8102073826552166
bc4u,bcu,0.2350023758156122,0.23963409993169654,0.2350023758156122,1.0
bc8u,bcu,0.2321231891565936,0.27160708567292285,0.2321231891565936,1.0
bc025l,bcl,0.008450084468892333,0.015548159097428507,0.008450084468892333,0.07226913221981031
bc05l,bcl,0.015460464393619627,0.029438474144109314,0.015460464393619627,0.1364700571031971
bc1l,bcl,0.028681656190842286,0.053274862278842434,0.028681656190842286,0.24128517615045855
bc2l,bcl,0.0482084759970871,0.07869427900482051,0.0482084759970871,0.33790994695723986
bc4l,bcl,0.08413837732346525,0.12688127310473507,0.08413837732346525,0.5653345904433971
bc8l,bcl,0.15077540460364386,0.2194554840753055,0.15077540460364386,1.0
gc025u_Area,gcu_A,0.03258090876134413,0.010421837361752232,0.03258090876134413,0.05668015798768723
gc05u_Area,gcu_A,0.0399535487969275,0.015526632580105912,0.0399535487969275,0.07486423703067874
gc1u_Area,gcu_A,0.04813857840137611,0.020868716151803145,0.04813857840137611,0.0976448015725307
gc2u_Area,gcu_A,0.06056176028752516,0.03099347948013577,0.06056176028752516,0.1392897754076249
gc4u_Area,gcu_A,0.07607098085116525,0.0430257844189512,0.07607098085116525,0.19163786288523144
gc8u_Area,gcu_A,0.0945615365945951,0.049112781197960316,0.0945615365945951,0.1999583343787511
gc025l_Area,gcl_A,0.005156938194277985,0.004060461281406378,0.005156938194277985,0.01933206121075382
gc05l_Area,gcl_A,0.007119910131023267,0.005675952524634075,0.007119910131023267,0.026939788965951374
gc1l_Area,gcl_A,0.010155451900387491,0.008189195277870159,0.010155451900387491,0.03889238388144921
gc2l_Area,gcl_A,0.01532167688899026,0.013200188397104224,0.01532167688899026,0.06323304531909273
gc4l_Area,gcl_A,0.02457989030857163,0.02247489559564333,0.02457989030857163,0.10625063356598904
gc8l_Area,gcl_A,0.0403202136326051,0.0368282891933684,0.0403202136326051,0.17042287426081731
