Model,Group,theta_chi,theta_slope,theta_chi_r,theta_chi_p
gc025u,gcu,0.39247397056426253,0.388032588479298,0.33235286913142503,0.3520964440370556
gc05u,gcu,0.41096595532219804,0.4059065955572956,0.35334250993720634,0.3707309150499072
gc1u,gcu,0.44920590652186454,0.44354897723077835,0.41118111790381573,0.42100688781606255
gc2u,gcu,0.4821740977232392,0.47439956176874726,0.4578209287423397,0.46339424690342396
gc4u,gcu,0.49013894277356695,0.48630454479379287,0.47107271186706395,0.4748821792428794
gc8u,gcu,0.493771350106254,0.4927219675108447,0.47981988906615064,0.4822585894211227
gc025l,gcl,0.510898228563208,0.5072567295799952,0.5227612252372413,0.5163294481885936
gc05l,gcl,0.5105226065853458,0.5067880193045292,0.5192598871554538,0.5150302616843779
gc1l,gcl,0.5087370231627428,0.5056431724546303,0.515438864161693,0.5125959044755594
gc2l,gcl,0.5160593744103928,0.5113873245659635,0.5301903644686313,0.5250991810399624
gc4l,gcl,0.5437415757651866,0.5328857875256587,0.5895135732846741,0.5763513294591658
gc8l,gcl,0.5502540280303739,0.5403604788177102,0.59189742991398,0.5823841704562168
gc025u_10l,gcu_10l,0.3209985150426554,0.3290408939186619,0.263010310144143,0.288175196487795
gc05u_10l,gcu_10l,0.3380159976857082,0.34666762560086833,0.2809151475693405,0.30299838081907016
gc1u_10l,gcu_10l,0.3645356309232003,0.3711414639002677,0.3109596518010844,0.32913675090055294
gc2u_10l,gcu_10l,0.3797350263200372,0.3867367199708368,0.3286848383516876,0.3438181911022262
gc4u_10l,gcu_10l,0.40238838441424,0.4071609258641931,0.3570365018363909,0.3686380286044669
gc8u_10l,gcu_10l,0.4362525324854233,0.43831750763729066,0.4023731193000422,0.40963576246313116
gc025l_10l,gcl_10l,0.5003491784170748,0.49872354587355966,0.4998733398254058,0.500133895916978
gc05l_10l,gcl_10l,0.5018130238956194,0.49960543907838706,0.5021852960797348,0.5020036285009356
gc1l_10l,gcl_10l,0.5022971163652054,0.4996747563834591,0.5032535178029285,0.502843735750096
gc2l_10l,gcl_10l,0.504188459063687,0.501953622864264,0.505816073276861,0.5052181771163955
gc4l_10l,gcl_10l,0.5046997157707894,0.5017235259462294,0.506696466539769,0.5060777587107894
gc8l_10l,gcl_10l,0.5059745203773489,0.5020876936591882,0.5087483531983255,0.5080413187678309
a025u,au,0.38128226758275086,0.3753621195708206,0.34309840478449816,0.36327789435753144
a05u,au,0.40130354043598687,0.39737894569425175,0.3650924295295712,0.3833398001782176
a1u,au,0.45525417239672317,0.4487852995300086,0.43068260722160656,0.44221036294092114
a2u,au,0.46503556631906734,0.46473288421280345,0.4416782728969521,0.4519413831028496
a4u,au,0.4697165567232744,0.47344366928958326,0.4494360613647427,0.4577986930729366
a8u,au,0.47581313207806536,0.47950401552515154,0.4602090909815747,0.4662671272068296
a025l,al,0.5061093909678117,0.5033791292929511,0.5094610695147843,0.5072440562735593
a05l,al,0.508698055881198,0.505240422912726,0.5125053604171825,0.5101050196153553
a1l,al,0.5082734589984157,0.5054292084525013,0.5115933796096441,0.5096146759978386
a2l,al,0.5192006306103374,0.5140802289943416,0.5283682226975175,0.5232845557697723
a4l,al,0.5545100390167728,0.5433435059874311,0.5826315931586916,0.5686454835869049
a8l,al,0.5499007831271344,0.5472128725321378,0.5680229167219213,0.5599779161822318
bc025u,bcu,0.46573056779721733,0.4786829999987389,0.4203290949405127,0.4282853696750915
bc05u,bcu,0.46854121005212485,0.48263789583548,0.43024937536758906,0.43642953485171565
bc1u,bcu,0.47235912225375787,0.4851033738940606,0.44079019541044057,0.44553383089483234
bc2u,bcu,0.4763074165291197,0.48628457735820996,0.45108441227262636,0.4546268288054255
bc4u,bcu,0.4809555239124575,0.48687700802965206,0.46196366294747937,0.46445972211303227
bc8u,bcu,0.4878108595964274,0.4896877073129126,0.47538766319116454,0.4769096165504677
bc025l,bcl,0.507282094337206,0.5039852885927432,0.512706453310057,0.5105991283430255
bc05l,bcl,0.5236139956504192,0.5166989160386335,0.5453556258796164,0.538037392369978
bc1l,bcl,0.6066312258387823,0.5860803912209666,0.6854936715762792,0.665904682866547
bc2l,bcl,0.5830891967108581,0.585919501163849,0.6259691987256326,0.6172526018259439
bc4l,bcl,0.5503114702361004,0.5668359478082816,0.5691781590682641,0.565990389129806
bc8l,bcl,0.5216717052892591,0.5382228562992492,0.5277162764854958,0.5268600064686418
