snowP_left,snowP_right,relationship,param1,param2
0.0,0.05,power,0.454225039920306,0.24101533614769785
0.05,0.1,power,0.47925013570403785,0.19513464973221756
0.1,0.15000000000000002,power,0.48817882598885287,0.18302036034928187
0.15000000000000002,0.2,power,0.4938561374415665,0.1906202964914647
0.2,0.25,power,0.5052053896582854,0.2389372283740656
0.25,0.30000000000000004,power,0.5009373365784568,0.3066756299908166
0.30000000000000004,0.35000000000000003,linear,0.09842193737954684,0.4108139958994765
0.35000000000000003,0.4,linear,0.10698805203871233,0.396526614696105
0.4,0.45,linear,0.11963071365079374,0.3757411806684593
0.45,0.5,linear,0.15990264515405497,0.31541723870877053
0.5,0.55,linear,0.17016977260218447,0.29870360699766507
0.55,0.6000000000000001,linear,0.18743214124804655,0.27889920645483074
0.6000000000000001,0.65,linear,0.21215434939094452,0.26348257722118307
0.65,0.7000000000000001,linear,0.22385391217505599,0.25902687337412933
0.7000000000000001,0.75,linear,0.22167703271065492,0.25478750181824766
0.75,1.0,linear,0.24217435078635177,0.2238955071438972
